"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.957,59","6.188","+1","654","+3","222","+1"
"Segeberg","SE","1.551,73","4.301","+2","352","+1","93",""
"Stormarn","OD","1.578,09","3.853","+3","352","","127",""
"Herzogtum Lauenburg","RZ","1.730,64","3.427","+1","255","","73",""
"Lübeck","HL","1.462,15","3.166","+1","260","","74",""
"Kiel","KI","1.267,86","3.129","+1","266","+2","56",""
"Rendsburg-Eckernförde","RD","881,07","2.415","","204","","35",""
"Ostholstein","OH","1.122,47","2.251","","237","","67",""
"Schleswig-Flensburg","SL","985,80","1.983","","87","","31",""
"Nordfriesland","NF","1.087,67","1.805","","210","","54",""
"Flensburg","FL","1.964,20","1.771","","110","","29",""
"Steinburg","IZ","1.146,45","1.502","+1","141","","20",""
"Neumünster","NMS","1.438,97","1.154","+1","86","","9",""
"Dithmarschen","HEI","764,30","1.018","","91","","20",""
"Plön","PLO","630,99","812","","105","","18",""
"-"
"Schleswig-Holstein","SH","1.335,33","38.775","+11","3.410","+6","928","+1"

"Datenstand 24.06.2021 18:51:26"
