"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","990","1.008","55","1"
"05-09","1.422","1.484","28","0"
"10-14","1.620","1.823","34","0"
"15-19","1.870","1.967","52","0"
"20-24","2.148","2.269","111","0"
"25-29","2.001","2.056","143","0"
"30-34","1.941","2.164","167","2"
"35-39","1.845","1.867","185","3"
"40-44","1.865","1.718","184","4"
"45-49","1.697","1.563","180","4"
"50-54","1.769","1.850","253","18"
"55-59","1.627","1.685","296","25"
"60-64","1.005","1.168","275","26"
"65-69","583","664","259","47"
"70-74","551","555","319","78"
"75-79","580","516","390","129"
"80-84","870","575","549","231"
"85-89","692","342","354","204"
"90+","735","208","254","219"

"Datenstand 02.10.2021 19:19:40"
