"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.119,25","6.699","+19","683","+3","228",""
"Segeberg","SE","1.651,30","4.577","+6","375","","94",""
"Stormarn","OD","1.674,75","4.089","+23","370","+2","129",""
"Herzogtum Lauenburg","RZ","1.823,56","3.611","+37","262","","75",""
"Kiel","KI","1.431,15","3.532","+27","285","+2","59",""
"Lübeck","HL","1.602,55","3.470","+11","278","+1","75",""
"Rendsburg-Eckernförde","RD","937,99","2.571","+7","206","","35",""
"Ostholstein","OH","1.186,80","2.380","","240","","67",""
"Schleswig-Flensburg","SL","1.033,03","2.078","+1","90","","31",""
"Nordfriesland","NF","1.189,51","1.974","+12","220","+1","54",""
"Flensburg","FL","2.120,58","1.912","+11","112","","29",""
"Steinburg","IZ","1.220,49","1.599","+3","145","","21",""
"Neumünster","NMS","1.639,73","1.315","+6","96","","9",""
"Dithmarschen","HEI","828,87","1.104","+2","96","","20",""
"Plön","PLO","711,81","916","+7","112","+3","18",""
"-"
"Schleswig-Holstein","SH","1.440,44","41.827","+172","3.570","+12","944",""

"Datenstand 09.08.2021 18:38:00"
