"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","983,17","3.091","+9","324","+3","170","+10"
"Lübeck","HL","797,89","1.733","+2","199","+1","61",""
"Segeberg","SE","602,47","1.663","+14","74","","62",""
"Stormarn","OD","617,20","1.501","+3","182","+2","74","+1"
"Herzogtum Lauenburg","RZ","676,76","1.335","+9","115","+5","43","+3"
"Flensburg","FL","1.275,92","1.142","+17","69","","23","+1"
"Nordfriesland","NF","677,31","1.121","+4","162","+3","39","+2"
"Kiel","KI","452,03","1.119","+17","109","+1","35","+1"
"Schleswig-Flensburg","SL","554,93","1.110","+10","52","+1","17","+1"
"Ostholstein","OH","536,44","1.076","+5","164","","52",""
"Rendsburg-Eckernförde","RD","361,47","986","+4","97","+1","21","+1"
"Steinburg","IZ","401,99","528","","32","","5",""
"Neumünster","NMS","582,49","463","+1","43","","7",""
"Dithmarschen","HEI","269,50","359","+2","30","+2","7",""
"Plön","PLO","264,29","340","+1","56","","11",""
"-"
"Schleswig-Holstein","SH","606,45","17.567","+98","1.708","+19","627","+20"

"Datenstand 01.03.2021 20:18:16"
