"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","21","21","2","0"
"05-09","16","16","0","0"
"10-14","37","34","1","0"
"15-19","68","71","0","0"
"20-24","128","117","0","0"
"25-29","136","99","3","0"
"30-34","97","116","6","0"
"35-39","87","97","10","0"
"40-44","109","71","2","0"
"45-49","100","78","2","0"
"50-54","121","103","6","0"
"55-59","118","100","9","0"
"60-64","84","71","9","0"
"65-69","42","51","6","0"
"70-74","44","52","16","0"
"75-79","62","70","21","4"
"80-84","105","71","33","5"
"85-89","88","35","16","3"
"90+","88","30","15","5"

"Datenstand 08.01.2021 21:59:39"
