"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","29","38","4","0"
"05-09","47","47","3","0"
"10-14","55","56","4","0"
"15-19","97","77","4","0"
"20-24","162","159","8","0"
"25-29","182","170","17","0"
"30-34","152","155","14","0"
"35-39","151","125","10","0"
"40-44","137","133","15","0"
"45-49","137","156","22","3"
"50-54","212","196","25","0"
"55-59","197","208","49","6"
"60-64","112","112","43","8"
"65-69","80","87","50","10"
"70-74","73","71","48","18"
"75-79","104","81","89","26"
"80-84","105","95","102","37"
"85-89","69","36","48","26"
"90+","72","20","28","27"

"Datenstand 09.09.2020 19:10:06"
