"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","640","645","30","1"
"05-09","727","812","13","0"
"10-14","780","931","18","0"
"15-19","1.146","1.199","32","0"
"20-24","1.479","1.530","70","0"
"25-29","1.374","1.387","80","0"
"30-34","1.340","1.501","98","1"
"35-39","1.269","1.346","107","2"
"40-44","1.333","1.225","116","1"
"45-49","1.272","1.138","133","2"
"50-54","1.406","1.461","167","6"
"55-59","1.330","1.363","210","20"
"60-64","833","944","199","20"
"65-69","472","550","200","36"
"70-74","480","487","260","68"
"75-79","511","463","331","115"
"80-84","788","516","478","208"
"85-89","632","311","312","189"
"90+","670","189","219","204"

"Datenstand 17.05.2021 19:06:00"
