"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","28","27","3","0"
"05-09","23","21","0","0"
"10-14","44","48","1","0"
"15-19","87","89","0","0"
"20-24","158","149","1","0"
"25-29","157","126","6","0"
"30-34","125","151","6","0"
"35-39","107","127","12","0"
"40-44","123","85","3","0"
"45-49","123","96","5","0"
"50-54","156","136","10","0"
"55-59","136","113","13","0"
"60-64","107","89","15","0"
"65-69","54","62","8","0"
"70-74","63","65","23","1"
"75-79","83","80","25","7"
"80-84","138","94","50","8"
"85-89","125","52","29","7"
"90+","132","39","23","6"

"Datenstand 11.01.2021 20:17:44"
