"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","939","959","51","1"
"05-09","1.323","1.380","26","0"
"10-14","1.482","1.687","30","0"
"15-19","1.796","1.912","51","0"
"20-24","2.082","2.187","104","0"
"25-29","1.926","1.984","134","0"
"30-34","1.867","2.069","158","2"
"35-39","1.772","1.788","170","3"
"40-44","1.799","1.649","179","4"
"45-49","1.634","1.518","174","4"
"50-54","1.720","1.794","242","16"
"55-59","1.585","1.634","284","25"
"60-64","975","1.142","268","25"
"65-69","559","643","251","46"
"70-74","541","540","310","77"
"75-79","556","507","379","125"
"80-84","857","563","538","230"
"85-89","681","337","353","203"
"90+","726","205","252","218"

"Datenstand 16.09.2021 18:48:32"
