"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.963,60","6.207","+3","657","+1","223",""
"Segeberg","SE","1.556,78","4.315","+5","364","+3","93",""
"Stormarn","OD","1.581,78","3.862","+1","353","","127",""
"Herzogtum Lauenburg","RZ","1.732,66","3.431","","255","","73",""
"Lübeck","HL","1.464,46","3.171","+2","260","","74",""
"Kiel","KI","1.273,53","3.143","+3","270","+1","56",""
"Rendsburg-Eckernförde","RD","884,36","2.424","+1","204","","35",""
"Ostholstein","OH","1.123,47","2.253","+1","237","","67",""
"Schleswig-Flensburg","SL","986,80","1.985","","87","","31",""
"Nordfriesland","NF","1.089,48","1.808","+2","210","","54",""
"Flensburg","FL","1.964,20","1.771","","110","","29",""
"Steinburg","IZ","1.147,21","1.503","","141","","20",""
"Neumünster","NMS","1.440,22","1.155","","87","","9",""
"Dithmarschen","HEI","765,06","1.019","","91","","20",""
"Plön","PLO","630,99","812","","106","","18",""
"-"
"Schleswig-Holstein","SH","1.338,22","38.859","+18","3.432","+5","929",""

"Datenstand 30.06.2021 19:08:15"
