"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","684","682","33","1"
"05-09","797","868","14","0"
"10-14","828","1.002","21","0"
"15-19","1.207","1.266","34","0"
"20-24","1.539","1.573","72","0"
"25-29","1.430","1.448","85","0"
"30-34","1.398","1.565","102","2"
"35-39","1.334","1.404","115","2"
"40-44","1.376","1.270","126","1"
"45-49","1.323","1.190","146","3"
"50-54","1.447","1.515","189","9"
"55-59","1.378","1.406","224","20"
"60-64","855","973","222","23"
"65-69","485","564","211","40"
"70-74","492","497","270","70"
"75-79","521","470","341","118"
"80-84","801","520","492","214"
"85-89","641","315","320","194"
"90+","675","192","229","205"

"Datenstand 01.06.2021 18:56:30"
