"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"01.01.2021","137","14","6"
"02.01.2021","261","31","21"
"03.01.2021","202","36","7"
"04.01.2021","260","28","9"
"05.01.2021","538","47","9"
"06.01.2021","533","36","13"
"07.01.2021","478","28","10"
"08.01.2021","523","36","9"
"09.01.2021","407","29","7"
"10.01.2021","141","14","6"
"11.01.2021","259","41","6"
"12.01.2021","397","36","5"
"13.01.2021","491","34","3"
"14.01.2021","421","29","4"
"15.01.2021","417","44","4"
"16.01.2021","357","22","5"
"17.01.2021","202","19","1"
"18.01.2021","238","19","1"
"19.01.2021","471","30","1"
"20.01.2021","478","30","1"
"21.01.2021","503","14","0"

"Datenstand 21.01.2021 21:10:34"
