"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","265","279","13","0"
"05-09","338","358","8","0"
"10-14","467","476","11","0"
"15-19","822","839","24","0"
"20-24","1.039","1.099","29","0"
"25-29","984","1.039","44","0"
"30-34","945","930","65","0"
"35-39","918","832","46","2"
"40-44","900","816","52","2"
"45-49","920","861","84","3"
"50-54","1.115","1.099","102","1"
"55-59","997","986","117","11"
"60-64","667","673","124","14"
"65-69","356","418","123","16"
"70-74","352","328","165","39"
"75-79","387","324","222","56"
"80-84","548","376","283","110"
"85-89","421","199","158","85"
"90+","482","128","118","88"

"Datenstand 31.12.2020 20:24:55"
