"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","1.048","1.095","56","1"
"05-09","1.572","1.641","32","0"
"10-14","1.796","1.986","39","0"
"15-19","1.986","2.087","56","0"
"20-24","2.275","2.410","118","0"
"25-29","2.129","2.188","155","0"
"30-34","2.083","2.304","179","3"
"35-39","2.005","2.005","196","4"
"40-44","1.994","1.821","194","4"
"45-49","1.817","1.678","187","4"
"50-54","1.906","1.988","267","18"
"55-59","1.738","1.774","307","25"
"60-64","1.076","1.236","290","28"
"65-69","626","712","268","50"
"70-74","588","596","336","82"
"75-79","615","543","401","130"
"80-84","919","610","572","235"
"85-89","742","352","370","211"
"90+","779","217","264","224"

"Datenstand 25.10.2021 19:10:50"
