"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","262","273","13","0"
"05-09","328","350","8","0"
"10-14","461","463","11","0"
"15-19","800","819","24","0"
"20-24","1.007","1.064","29","0"
"25-29","953","1.003","42","0"
"30-34","907","901","63","0"
"35-39","891","798","46","2"
"40-44","865","789","51","2"
"45-49","891","835","82","3"
"50-54","1.079","1.071","100","1"
"55-59","943","951","115","10"
"60-64","626","650","117","14"
"65-69","344","402","119","16"
"70-74","335","311","154","39"
"75-79","372","307","212","55"
"80-84","519","364","271","102"
"85-89","401","194","150","83"
"90+","460","118","115","84"

"Datenstand 29.12.2020 20:02:36"
