"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","48","54","6","0"
"05-09","57","56","3","0"
"10-14","77","75","4","0"
"15-19","138","119","5","0"
"20-24","218","233","9","0"
"25-29","222","229","18","0"
"30-34","189","196","18","0"
"35-39","174","155","10","0"
"40-44","169","161","18","0"
"45-49","166","187","25","3"
"50-54","244","229","29","0"
"55-59","213","233","49","6"
"60-64","133","136","44","8"
"65-69","86","95","51","10"
"70-74","80","76","51","18"
"75-79","114","84","92","27"
"80-84","111","104","108","37"
"85-89","76","37","53","26"
"90+","73","24","29","27"

"Datenstand 07.10.2020 20:56:36"
