"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.397,32","7.578","+6","731","","233",""
"Segeberg","SE","1.873,18","5.192","","405","+2","96",""
"Stormarn","OD","1.885,27","4.603","","418","","136",""
"Kiel","KI","1.838,38","4.537","+17","340","+1","64",""
"Herzogtum Lauenburg","RZ","2.104,85","4.168","","278","","76",""
"Lübeck","HL","1.891,65","4.096","","289","","75",""
"Rendsburg-Eckernförde","RD","1.080,64","2.962","","217","","36",""
"Ostholstein","OH","1.306,98","2.621","+2","250","","67",""
"Schleswig-Flensburg","SL","1.152,84","2.319","+3","96","","31",""
"Nordfriesland","NF","1.356,42","2.251","+7","234","","56",""
"Flensburg","FL","2.482,14","2.238","+6","122","+1","29",""
"Steinburg","IZ","1.457,11","1.909","+5","160","","22",""
"Neumünster","NMS","2.020,05","1.620","+5","109","","9",""
"Dithmarschen","HEI","1.131,44","1.507","+4","121","+1","21",""
"Plön","PLO","883,55","1.137","","129","","19",""
"-"
"Schleswig-Holstein","SH","1.678,44","48.738","+55","3.899","+5","970",""

"Datenstand 12.09.2021 18:36:01"
