"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","930,05","2.924","+29","297","","147",""
"Lübeck","HL","747,70","1.624","+19","192","+1","49",""
"Segeberg","SE","544,50","1.503","+17","72","","63",""
"Stormarn","OD","553,87","1.347","+20","151","","55",""
"Herzogtum Lauenburg","RZ","607,81","1.199","+17","80","","32",""
"Nordfriesland","NF","630,18","1.043","+6","152","","35",""
"Ostholstein","OH","503,04","1.009","+20","157","+1","41",""
"Flensburg","FL","1.082,63","969","+23","50","+4","18",""
"Kiel","KI","389,42","964","+14","105","","33",""
"Schleswig-Flensburg","SL","475,44","951","+13","47","+1","16",""
"Rendsburg-Eckernförde","RD","314,54","858","+13","89","","15",""
"Steinburg","IZ","356,31","468","+5","27","","3",""
"Neumünster","NMS","543,49","432","+6","39","","7",""
"Dithmarschen","HEI","258,99","345","","24","","7",""
"Plön","PLO","221,54","285","+5","52","+1","8",""
"-"
"Schleswig-Holstein","SH","549,62","15.921","+207","1.534","+8","529",""

"Datenstand 20.02.2021 20:15:12"
