"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","631","640","29","1"
"05-09","713","792","12","0"
"10-14","767","913","16","0"
"15-19","1.127","1.184","30","0"
"20-24","1.454","1.505","68","0"
"25-29","1.357","1.374","74","0"
"30-34","1.325","1.494","92","1"
"35-39","1.259","1.334","104","1"
"40-44","1.322","1.214","112","1"
"45-49","1.252","1.124","129","2"
"50-54","1.386","1.446","160","6"
"55-59","1.320","1.352","203","19"
"60-64","822","928","189","20"
"65-69","471","547","194","36"
"70-74","479","484","253","67"
"75-79","509","458","321","113"
"80-84","786","514","468","205"
"85-89","629","309","296","187"
"90+","668","188","213","199"

"Datenstand 13.05.2021 18:48:36"
