"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.285,34","4.041","+32","406","+6","180",""
"Segeberg","SE","972,35","2.684","+35","100","+2","76","+2"
"Stormarn","OD","932,17","2.267","+27","233","+2","104",""
"Lübeck","HL","976,07","2.120","+7","221","+3","64",""
"Herzogtum Lauenburg","RZ","985,48","1.944","+27","160","+2","64",""
"Kiel","KI","642,30","1.590","+10","152","+4","43",""
"Schleswig-Flensburg","SL","752,91","1.506","+3","66","","23",""
"Flensburg","FL","1.640,15","1.468","+9","95","","28",""
"Rendsburg-Eckernförde","RD","515,81","1.407","","127","","21",""
"Ostholstein","OH","677,03","1.358","+2","183","","58",""
"Nordfriesland","NF","788,49","1.305","+6","178","","47",""
"Steinburg","IZ","582,43","765","+15","54","+1","8",""
"Neumünster","NMS","888,20","706","+8","58","+1","7",""
"Dithmarschen","HEI","403,87","538","+5","45","","9",""
"Plön","PLO","353,68","455","+2","73","","12",""
"-"
"Schleswig-Holstein","SH","833,84","24.154","+188","2.151","+21","744","+2"

"Datenstand 29.03.2021 19:32:32"
