"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.591,24","8.191","+15","775","+6","240",""
"Segeberg","SE","2.002,71","5.551","+17","436","","100",""
"Stormarn","OD","2.057,29","5.023","","448","","139",""
"Kiel","KI","2.012,20","4.966","","370","","67",""
"Herzogtum Lauenburg","RZ","2.196,25","4.349","","286","","77",""
"Lübeck","HL","1.997,41","4.325","+6","293","","75",""
"Rendsburg-Eckernförde","RD","1.199,94","3.289","+3","232","","39",""
"Ostholstein","OH","1.372,80","2.753","+4","259","","67",""
"Schleswig-Flensburg","SL","1.209,51","2.433","+3","104","+1","32","+1"
"Nordfriesland","NF","1.414,27","2.347","","248","+2","56",""
"Flensburg","FL","2.601,93","2.346","+6","124","","29",""
"Steinburg","IZ","1.538,02","2.015","+3","171","","22",""
"Neumünster","NMS","2.266,95","1.818","+2","120","","10",""
"Dithmarschen","HEI","1.232,80","1.642","+2","135","","22",""
"Plön","PLO","969,80","1.248","","143","","22",""
"-"
"Schleswig-Holstein","SH","1.800,97","52.296","+61","4.144","+9","997","+1"

"Datenstand 09.10.2021 18:41:38"
