"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","138","149","10","0"
"05-09","199","189","4","0"
"10-14","266","237","8","0"
"15-19","436","435","14","0"
"20-24","529","619","17","0"
"25-29","518","602","34","0"
"30-34","510","515","46","0"
"35-39","478","452","29","2"
"40-44","450","437","30","1"
"45-49","471","484","52","3"
"50-54","568","570","55","0"
"55-59","503","535","82","6"
"60-64","320","354","73","10"
"65-69","182","207","76","10"
"70-74","191","159","93","25"
"75-79","193","165","133","33"
"80-84","223","179","159","57"
"85-89","134","72","81","42"
"90+","133","41","59","45"

"Datenstand 22.11.2020 20:15:54"
