"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.831,68","5.790","+5","607","+27","212","+6"
"Segeberg","SE","1.469,47","4.073","+8","213","+1","89",""
"Stormarn","OD","1.467,09","3.582","+10","324","+2","117",""
"Herzogtum Lauenburg","RZ","1.637,22","3.242","+9","219","","69",""
"Lübeck","HL","1.361,94","2.949","+16","258","","72",""
"Kiel","KI","1.173,85","2.897","+39","238","+1","53",""
"Rendsburg-Eckernförde","RD","816,13","2.237","+19","186","+1","30",""
"Ostholstein","OH","1.067,62","2.141","","230","","65",""
"Schleswig-Flensburg","SL","962,93","1.937","+5","82","","29",""
"Flensburg","FL","1.937,58","1.747","+2","106","","29",""
"Nordfriesland","NF","1.010,54","1.677","","205","","52",""
"Steinburg","IZ","1.085,39","1.422","+9","103","","16",""
"Neumünster","NMS","1.370,39","1.099","+5","83","","9",""
"Dithmarschen","HEI","731,27","974","+6","83","+1","13","+1"
"Plön","PLO","595,25","766","+7","96","","16",""
"-"
"Schleswig-Holstein","SH","1.258,12","36.533","+140","3.033","+33","871","+7"

"Datenstand 15.05.2021 19:30:56"
