"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","502,56","1.580","+42","182","+5","48",""
"Stormarn","OD","482,33","1.173","+34","67","+1","40",""
"Segeberg","SE","373,15","1.030","+4","81","","16",""
"Kiel","KI","300,55","744","+12","108","+3","14",""
"Lübeck","HL","323,67","703","+17","25","+2","5","+1"
"Herzogtum Lauenburg","RZ","344,21","679","+21","59","","19",""
"Rendsburg-Eckernförde","RD","237,93","649","+23","69","","15",""
"Nordfriesland","NF","270,08","447","+16","29","","2",""
"Dithmarschen","HEI","327,30","436","+15","59","+2","11",""
"Schleswig-Flensburg","SL","204,47","409","+8","31","+1","6",""
"Ostholstein","OH","180,97","363","+6","25","+1","1","+1"
"Steinburg","IZ","238,30","313","","33","","3",""
"Neumünster","NMS","386,23","307","+11","15","","3",""
"Plön","PLO","188,11","242","+6","48","","8",""
"Flensburg","FL","265,91","238","+5","9","","3",""
"-"
"Schleswig-Holstein","SH","321,50","9.313","+220","840","+15","194","+2"

"Datenstand 05.11.2020 21:34:58"
