"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.014,34","3.189","+20","338","+5","173","+1"
"Segeberg","SE","656,45","1.812","+59","79","+2","62",""
"Lübeck","HL","821,83","1.785","+5","200","","63","+2"
"Stormarn","OD","682,58","1.660","+32","200","+1","79",""
"Herzogtum Lauenburg","RZ","739,11","1.458","+24","127","","48","+2"
"Kiel","KI","488,79","1.210","+13","115","+1","38",""
"Schleswig-Flensburg","SL","603,92","1.208","+9","56","","19","+1"
"Flensburg","FL","1.346,31","1.205","+9","74","","24",""
"Nordfriesland","NF","703,90","1.165","+12","166","+1","41","+1"
"Ostholstein","OH","565,36","1.134","+14","166","","54",""
"Rendsburg-Eckernförde","RD","396,30","1.081","+23","106","+1","21",""
"Steinburg","IZ","414,17","544","+3","36","","6",""
"Neumünster","NMS","632,81","503","+10","46","","7",""
"Dithmarschen","HEI","287,52","383","+1","32","","7",""
"Plön","PLO","278,28","358","+4","58","","12",""
"-"
"Schleswig-Holstein","SH","645,39","18.695","+238","1.799","+11","654","+7"

"Datenstand 06.03.2021 20:53:37"
