"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","533","549","21","1"
"05-09","591","667","10","0"
"10-14","625","746","15","0"
"15-19","958","1.006","29","0"
"20-24","1.294","1.320","49","0"
"25-29","1.216","1.226","63","0"
"30-34","1.189","1.333","71","1"
"35-39","1.111","1.209","87","0"
"40-44","1.185","1.068","93","1"
"45-49","1.104","998","107","2"
"50-54","1.246","1.312","137","5"
"55-59","1.193","1.197","166","17"
"60-64","739","841","161","19"
"65-69","432","491","177","34"
"70-74","436","443","223","63"
"75-79","478","430","291","105"
"80-84","760","494","440","193"
"85-89","620","298","283","178"
"90+","657","186","196","191"

"Datenstand 25.04.2021 18:37:37"
