"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","41","43","5","0"
"05-09","54","52","3","0"
"10-14","73","68","4","0"
"15-19","126","109","5","0"
"20-24","197","208","9","0"
"25-29","207","207","17","0"
"30-34","176","174","17","0"
"35-39","169","144","10","0"
"40-44","156","145","17","0"
"45-49","155","171","23","3"
"50-54","231","214","28","0"
"55-59","207","220","49","6"
"60-64","125","125","44","8"
"65-69","83","90","51","10"
"70-74","77","74","50","18"
"75-79","109","82","91","26"
"80-84","108","99","106","37"
"85-89","71","36","50","26"
"90+","72","22","28","27"

"Datenstand 28.09.2020 19:17:05"
