"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","711","714","39","1"
"05-09","845","902","18","0"
"10-14","865","1.065","21","0"
"15-19","1.276","1.340","38","0"
"20-24","1.613","1.656","83","0"
"25-29","1.496","1.508","94","0"
"30-34","1.451","1.614","114","2"
"35-39","1.383","1.447","127","2"
"40-44","1.417","1.315","140","1"
"45-49","1.364","1.234","152","3"
"50-54","1.479","1.559","202","13"
"55-59","1.414","1.436","243","22"
"60-64","873","1.005","239","25"
"65-69","491","575","221","40"
"70-74","502","503","294","72"
"75-79","526","472","357","121"
"80-84","811","528","505","223"
"85-89","647","318","340","197"
"90+","679","194","235","212"

"Datenstand 20.07.2021 20:44:01"
