"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","45","50","6","0"
"05-09","55","54","3","0"
"10-14","74","71","4","0"
"15-19","134","117","5","0"
"20-24","213","221","9","0"
"25-29","218","217","18","0"
"30-34","185","191","18","0"
"35-39","171","150","10","0"
"40-44","168","154","18","0"
"45-49","160","179","24","3"
"50-54","238","223","28","0"
"55-59","209","228","49","6"
"60-64","128","130","44","8"
"65-69","86","94","51","10"
"70-74","79","76","51","18"
"75-79","111","83","91","27"
"80-84","111","102","106","37"
"85-89","76","37","53","26"
"90+","72","23","29","27"

"Datenstand 04.10.2020 20:08:50"
