"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","66","58","4","0"
"05-09","61","51","1","0"
"10-14","94","94","5","0"
"15-19","189","193","3","0"
"20-24","315","301","8","0"
"25-29","336","269","17","0"
"30-34","262","317","15","0"
"35-39","245","276","21","0"
"40-44","264","197","12","0"
"45-49","280","189","15","0"
"50-54","312","288","20","1"
"55-59","284","245","31","0"
"60-64","205","190","36","3"
"65-69","110","136","29","3"
"70-74","127","149","62","10"
"75-79","159","150","72","18"
"80-84","288","186","132","37"
"85-89","248","114","72","29"
"90+","268","76","60","26"

"Datenstand 21.01.2021 21:10:34"
