"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","637","643","30","1"
"05-09","718","804","12","0"
"10-14","777","928","16","0"
"15-19","1.140","1.195","32","0"
"20-24","1.469","1.521","69","0"
"25-29","1.372","1.384","77","0"
"30-34","1.337","1.499","93","1"
"35-39","1.265","1.338","104","2"
"40-44","1.328","1.221","114","1"
"45-49","1.263","1.131","131","2"
"50-54","1.399","1.456","164","6"
"55-59","1.328","1.361","208","20"
"60-64","827","938","196","20"
"65-69","471","549","197","36"
"70-74","479","484","256","67"
"75-79","510","462","327","115"
"80-84","788","516","476","208"
"85-89","633","309","311","189"
"90+","670","189","217","203"

"Datenstand 15.05.2021 19:30:56"
