"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","694","689","33","1"
"05-09","814","879","15","0"
"10-14","834","1.027","21","0"
"15-19","1.217","1.278","35","0"
"20-24","1.554","1.581","73","0"
"25-29","1.438","1.458","87","0"
"30-34","1.416","1.577","103","2"
"35-39","1.340","1.418","118","2"
"40-44","1.385","1.286","130","1"
"45-49","1.333","1.199","149","3"
"50-54","1.459","1.528","192","9"
"55-59","1.383","1.408","227","20"
"60-64","855","981","229","23"
"65-69","488","566","213","40"
"70-74","494","499","276","71"
"75-79","524","471","346","120"
"80-84","806","521","496","220"
"85-89","642","316","327","195"
"90+","678","193","230","209"

"Datenstand 08.06.2021 18:43:55"
