"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","746","741","41","1"
"05-09","920","976","20","0"
"10-14","979","1.148","23","0"
"15-19","1.409","1.457","41","0"
"20-24","1.730","1.778","87","0"
"25-29","1.573","1.596","97","0"
"30-34","1.516","1.686","119","2"
"35-39","1.456","1.507","133","2"
"40-44","1.488","1.366","151","1"
"45-49","1.407","1.281","157","3"
"50-54","1.517","1.595","207","15"
"55-59","1.444","1.469","251","22"
"60-64","890","1.023","244","25"
"65-69","508","590","231","42"
"70-74","505","507","294","75"
"75-79","528","473","357","121"
"80-84","817","534","510","224"
"85-89","651","318","339","198"
"90+","688","195","238","212"

"Datenstand 05.08.2021 20:48:40"
