"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","862","874","49","1"
"05-09","1.163","1.219","25","0"
"10-14","1.308","1.514","27","0"
"15-19","1.650","1.703","48","0"
"20-24","1.952","2.041","98","0"
"25-29","1.786","1.804","112","0"
"30-34","1.720","1.880","133","2"
"35-39","1.643","1.679","154","2"
"40-44","1.689","1.529","169","1"
"45-49","1.531","1.420","166","3"
"50-54","1.633","1.719","229","15"
"55-59","1.513","1.566","271","24"
"60-64","943","1.090","256","25"
"65-69","539","620","241","43"
"70-74","521","525","300","75"
"75-79","543","495","370","123"
"80-84","833","542","521","227"
"85-89","661","326","347","199"
"90+","703","200","246","216"

"Datenstand 30.08.2021 18:58:38"
