"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"01.01.2021","137","14","7"
"02.01.2021","261","31","21"
"03.01.2021","202","36","7"
"04.01.2021","260","33","10"
"05.01.2021","538","51","9"
"06.01.2021","533","36","15"
"07.01.2021","478","31","10"
"08.01.2021","523","37","11"
"09.01.2021","407","31","8"
"10.01.2021","140","14","9"
"11.01.2021","259","44","7"
"12.01.2021","398","38","5"
"13.01.2021","491","41","8"
"14.01.2021","421","33","6"
"15.01.2021","417","54","6"
"16.01.2021","357","25","5"
"17.01.2021","202","21","1"
"18.01.2021","239","23","2"
"19.01.2021","468","32","2"
"20.01.2021","482","33","1"
"21.01.2021","507","21","1"
"22.01.2021","458","16","1"
"23.01.2021","441","16","1"
"24.01.2021","138","7","0"

"Datenstand 24.01.2021 20:10:25"
