"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.711,47","5.410","+36","516","+8","196",""
"Segeberg","SE","1.378,19","3.820","+33","161","+4","87",""
"Stormarn","OD","1.333,98","3.257","+36","303","+3","115",""
"Herzogtum Lauenburg","RZ","1.476,12","2.923","+21","198","+1","68",""
"Lübeck","HL","1.254,79","2.717","+14","248","+1","69",""
"Kiel","KI","991,92","2.448","+19","210","+3","50",""
"Rendsburg-Eckernförde","RD","749,00","2.053","+17","172","+3","28",""
"Ostholstein","OH","976,37","1.958","+18","213","+1","62",""
"Schleswig-Flensburg","SL","905,76","1.822","+14","74","+1","25",""
"Flensburg","FL","1.883,23","1.698","+6","103","","29",""
"Nordfriesland","NF","946,66","1.571","+7","197","+1","49",""
"Steinburg","IZ","970,13","1.271","+18","91","","12","+1"
"Neumünster","NMS","1.215,77","975","+23","72","","8",""
"Dithmarschen","HEI","653,19","870","+6","73","+1","9",""
"Plön","PLO","524,53","675","+5","83","","14",""
"-"
"Schleswig-Holstein","SH","1.152,57","33.468","+273","2.714","+27","821","+1"

"Datenstand 29.04.2021 18:49:56"
