"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","78","89","6","0"
"05-09","79","77","1","0"
"10-14","117","117","5","0"
"15-19","239","236","5","0"
"20-24","380","352","10","0"
"25-29","386","323","19","0"
"30-34","315","364","16","0"
"35-39","296","314","23","0"
"40-44","325","233","16","0"
"45-49","345","238","20","0"
"50-54","385","349","24","1"
"55-59","342","300","43","0"
"60-64","246","233","44","4"
"65-69","138","158","42","5"
"70-74","158","179","82","12"
"75-79","198","177","93","25"
"80-84","365","230","167","52"
"85-89","327","139","104","39"
"90+","339","94","83","42"

"Datenstand 26.01.2021 21:34:13"
