"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","710","713","38","1"
"05-09","844","898","18","0"
"10-14","865","1.061","21","0"
"15-19","1.274","1.333","38","0"
"20-24","1.611","1.654","83","0"
"25-29","1.492","1.503","94","0"
"30-34","1.449","1.614","114","2"
"35-39","1.381","1.446","127","2"
"40-44","1.413","1.314","140","1"
"45-49","1.362","1.233","152","3"
"50-54","1.477","1.556","202","13"
"55-59","1.412","1.435","243","22"
"60-64","873","1.003","239","25"
"65-69","491","574","221","40"
"70-74","501","503","293","72"
"75-79","526","472","357","121"
"80-84","810","526","505","223"
"85-89","647","318","340","197"
"90+","679","194","235","212"

"Datenstand 19.07.2021 19:24:36"
