"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","120","129","10","0"
"05-09","180","162","4","0"
"10-14","230","209","6","0"
"15-19","377","373","13","0"
"20-24","465","568","17","0"
"25-29","461","537","30","0"
"30-34","453","462","39","0"
"35-39","420","398","26","2"
"40-44","392","390","25","1"
"45-49","411","423","46","3"
"50-54","506","508","48","0"
"55-59","453","501","75","6"
"60-64","294","315","68","9"
"65-69","159","189","71","10"
"70-74","170","147","87","23"
"75-79","180","149","121","32"
"80-84","203","169","152","55"
"85-89","121","67","78","37"
"90+","119","41","55","44"

"Datenstand 15.11.2020 20:18:07"
