"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.724,44","5.451","+41","521","+5","196",""
"Segeberg","SE","1.385,41","3.840","+20","162","+1","87",""
"Stormarn","OD","1.349,14","3.294","+37","303","","115",""
"Herzogtum Lauenburg","RZ","1.493,80","2.958","+35","199","+1","69","+1"
"Lübeck","HL","1.260,33","2.729","+12","249","+1","69",""
"Kiel","KI","1.006,51","2.484","+36","210","","50",""
"Rendsburg-Eckernförde","RD","754,84","2.069","+16","173","+1","28",""
"Ostholstein","OH","981,85","1.969","+11","215","+2","62",""
"Schleswig-Flensburg","SL","908,25","1.827","+5","74","","26","+1"
"Flensburg","FL","1.889,89","1.704","+6","103","","29",""
"Nordfriesland","NF","950,88","1.578","+7","197","","49",""
"Steinburg","IZ","980,06","1.284","+13","91","","12",""
"Neumünster","NMS","1.224,50","982","+7","76","+4","8",""
"Dithmarschen","HEI","659,94","879","+9","74","+1","9",""
"Plön","PLO","526,09","677","+2","84","+1","14",""
"-"
"Schleswig-Holstein","SH","1.161,42","33.725","+257","2.731","+17","823","+2"

"Datenstand 30.04.2021 19:31:01"
