"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.914,88","6.053","+6","635","+1","221","+4"
"Segeberg","SE","1.523,23","4.222","+5","277","+3","91",""
"Stormarn","OD","1.542,05","3.765","+7","345","+2","122",""
"Herzogtum Lauenburg","RZ","1.706,40","3.379","+4","243","+5","69",""
"Lübeck","HL","1.440,91","3.120","+5","259","","74",""
"Kiel","KI","1.250,84","3.087","","257","-1","55",""
"Rendsburg-Eckernförde","RD","873,05","2.393","+4","202","+1","35",""
"Ostholstein","OH","1.115,49","2.237","","237","","66",""
"Schleswig-Flensburg","SL","981,33","1.974","+2","86","+1","30",""
"Nordfriesland","NF","1.073,21","1.781","+3","206","","54","+1"
"Flensburg","FL","1.955,33","1.763","-1","109","-1","29",""
"Steinburg","IZ","1.140,34","1.494","","139","","19",""
"Neumünster","NMS","1.425,26","1.143","+1","86","","9",""
"Dithmarschen","HEI","762,05","1.015","+1","89","","18",""
"Plön","PLO","625,55","805","+1","100","","17",""
"-"
"Schleswig-Holstein","SH","1.316,60","38.231","+38","3.270","+11","909","+5"

"Datenstand 03.06.2021 19:23:57"
