"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","272,27","856","+3","141","+1","47",""
"Stormarn","OD","261,93","637","+10","57","+1","35",""
"Segeberg","SE","166,65","460","+1","47","","7",""
"Kiel","KI","185,82","460","","80","","11",""
"Herzogtum Lauenburg","RZ","182,50","360","+5","51","","18",""
"Rendsburg-Eckernförde","RD","128,68","351","","51","","14",""
"Lübeck","HL","127,07","276","","13","","1",""
"Steinburg","IZ","165,21","217","+5","25","","3",""
"Dithmarschen","HEI","157,65","210","+3","31","","5",""
"Schleswig-Flensburg","SL","93,99","188","","21","","4",""
"Neumünster","NMS","211,36","168","+1","13","","3",""
"Plön","PLO","129,81","167","+3","36","","8",""
"Ostholstein","OH","67,80","136","+2","17","","0",""
"Nordfriesland","NF","77,34","128","+4","17","","2",""
"Flensburg","FL","122,90","110","+1","7","","3",""
"-"
"Schleswig-Holstein","SH","163,08","4.724","+38","607","+2","161",""

"Datenstand 28.09.2020 19:17:05"
