"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","34","41","4","0"
"05-09","48","49","3","0"
"10-14","62","63","4","0"
"15-19","106","93","5","0"
"20-24","176","171","8","0"
"25-29","194","183","17","0"
"30-34","159","166","15","0"
"35-39","160","133","10","0"
"40-44","147","138","15","0"
"45-49","143","163","22","3"
"50-54","224","207","27","0"
"55-59","202","212","49","6"
"60-64","116","117","43","8"
"65-69","82","89","51","10"
"70-74","75","73","49","18"
"75-79","105","82","89","26"
"80-84","106","97","104","37"
"85-89","70","36","50","26"
"90+","72","21","28","27"

"Datenstand 20.09.2020 19:01:37"
