"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","881","897","49","1"
"05-09","1.192","1.253","25","0"
"10-14","1.354","1.555","27","0"
"15-19","1.690","1.757","49","0"
"20-24","1.982","2.085","99","0"
"25-29","1.822","1.842","117","0"
"30-34","1.761","1.932","142","2"
"35-39","1.680","1.710","154","2"
"40-44","1.721","1.554","170","1"
"45-49","1.555","1.447","168","4"
"50-54","1.654","1.736","233","16"
"55-59","1.527","1.582","272","24"
"60-64","953","1.099","257","25"
"65-69","541","628","244","43"
"70-74","525","529","303","76"
"75-79","547","496","371","123"
"80-84","837","546","527","227"
"85-89","661","326","347","199"
"90+","705","200","247","216"

"Datenstand 02.09.2021 19:04:16"
