"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.386,25","7.543","+22","730","+5","233",""
"Segeberg","SE","1.868,86","5.180","+10","403","","96",""
"Stormarn","OD","1.885,27","4.603","+10","418","+1","136","+2"
"Kiel","KI","1.824,19","4.502","+32","339","+4","64",""
"Herzogtum Lauenburg","RZ","2.094,75","4.148","+20","276","","76",""
"Lübeck","HL","1.886,11","4.084","+10","288","","75",""
"Rendsburg-Eckernförde","RD","1.075,53","2.948","+28","216","","36",""
"Ostholstein","OH","1.302,99","2.613","+15","250","","67",""
"Schleswig-Flensburg","SL","1.145,88","2.305","+12","96","","31",""
"Flensburg","FL","2.472,16","2.229","+1","121","","29",""
"Nordfriesland","NF","1.343,17","2.229","","233","","56",""
"Steinburg","IZ","1.449,47","1.899","+7","160","","22",""
"Neumünster","NMS","2.002,59","1.606","+1","109","","9",""
"Dithmarschen","HEI","1.117,18","1.488","+5","120","+2","21",""
"Plön","PLO","883,55","1.137","+6","129","","19",""
"-"
"Schleswig-Holstein","SH","1.670,72","48.514","+179","3.888","+12","970","+2"

"Datenstand 10.09.2021 18:54:52"
