"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.326,77","7.355","+32","717","","230",""
"Segeberg","SE","1.830,61","5.074","+25","392","-2","95",""
"Stormarn","OD","1.837,76","4.487","","404","","133",""
"Kiel","KI","1.753,69","4.328","+49","326","+2","63",""
"Herzogtum Lauenburg","RZ","2.033,64","4.027","+15","273","+1","76","+1"
"Lübeck","HL","1.829,31","3.961","+16","287","","75",""
"Rendsburg-Eckernförde","RD","1.033,94","2.834","+11","214","","36",""
"Ostholstein","OH","1.269,58","2.546","+12","248","+2","67",""
"Schleswig-Flensburg","SL","1.126,49","2.266","+7","95","","31",""
"Nordfriesland","NF","1.319,67","2.190","+6","231","","55",""
"Flensburg","FL","2.422,25","2.184","+13","121","","29",""
"Steinburg","IZ","1.413,60","1.852","+11","156","+1","22",""
"Neumünster","NMS","1.937,75","1.554","","105","","9",""
"Dithmarschen","HEI","1.066,12","1.420","+14","113","+1","20",""
"Plön","PLO","842,36","1.084","+5","125","","19",""
"-"
"Schleswig-Holstein","SH","1.624,16","47.162","+216","3.807","+5","960","+1"

"Datenstand 03.09.2021 18:41:32"
