"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.686,16","5.330","+36","505","+3","196",""
"Segeberg","SE","1.355,82","3.758","+22","154","+2","87",""
"Stormarn","OD","1.307,36","3.192","+57","297","","114","+2"
"Herzogtum Lauenburg","RZ","1.445,82","2.863","+26","195","+1","67",""
"Lübeck","HL","1.244,17","2.694","+20","247","+3","68",""
"Kiel","KI","968,82","2.391","+34","203","+3","50",""
"Rendsburg-Eckernförde","RD","733,31","2.010","+23","167","","28",""
"Ostholstein","OH","958,42","1.922","+39","211","+1","62",""
"Schleswig-Flensburg","SL","896,32","1.803","+11","73","","25",""
"Flensburg","FL","1.868,82","1.685","+4","103","","29",""
"Nordfriesland","NF","933,41","1.549","+22","196","","49",""
"Steinburg","IZ","946,47","1.240","+13","91","","11",""
"Neumünster","NMS","1.187,09","952","+14","72","+1","8",""
"Dithmarschen","HEI","644,93","859","+14","72","+2","9",""
"Plön","PLO","512,10","659","+22","83","+1","14",""
"-"
"Schleswig-Holstein","SH","1.133,25","32.907","+357","2.669","+17","817","+2"

"Datenstand 27.04.2021 20:42:33"
