"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","393,46","1.237","+103","91","+12","20","+2"
"Segeberg","SE","253,96","701","+23","24","+1","12","+3"
"Stormarn","OD","267,27","650","+40","47","+3","8","+4"
"Lübeck","HL","260,13","565","+20","24","+3","6","+1"
"Kiel","KI","197,94","490","+36","54","+3","12",""
"Herzogtum Lauenburg","RZ","241,30","476","+41","17","+2","11",""
"Nordfriesland","NF","275,52","456","+19","82","+3","2",""
"Rendsburg-Eckernförde","RD","141,51","386","+46","45","+5","2","+1"
"Ostholstein","OH","186,46","374","+14","57","+3","9","+1"
"Schleswig-Flensburg","SL","164,98","330","+14","17","+1","6",""
"Flensburg","FL","353,06","316","+26","12","+1","6",""
"Steinburg","IZ","168,26","221","+25","8","","1",""
"Neumünster","NMS","262,94","209","+24","12","+1","1",""
"Dithmarschen","HEI","135,88","181","+11","13","","2","+1"
"Plön","PLO","108,82","140","+10","28","+1","3","+1"
"-"
"Schleswig-Holstein","SH","232,40","6.732","+452","531","+39","101","+14"

"Datenstand 19.01.2021 20:45:42"
