"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.933,55","6.112","+10","638","","221",""
"Segeberg","SE","1.537,66","4.262","","307","+7","93",""
"Stormarn","OD","1.562,12","3.814","+6","350","+2","125","+1"
"Herzogtum Lauenburg","RZ","1.717,51","3.401","+3","249","","72",""
"Lübeck","HL","1.453,38","3.147","+1","260","","74",""
"Kiel","KI","1.259,76","3.109","+2","262","+2","55",""
"Rendsburg-Eckernförde","RD","878,15","2.407","+4","204","+1","35",""
"Ostholstein","OH","1.116,99","2.240","+2","237","","66",""
"Schleswig-Flensburg","SL","982,82","1.977","","87","","30",""
"Nordfriesland","NF","1.081,64","1.795","+3","209","","54",""
"Flensburg","FL","1.960,87","1.768","","109","","29",""
"Steinburg","IZ","1.143,40","1.498","+2","139","","19",""
"Neumünster","NMS","1.427,75","1.145","","86","","9",""
"Dithmarschen","HEI","763,55","1.017","-1","90","","19",""
"Plön","PLO","626,33","806","","103","","17",""
"-"
"Schleswig-Holstein","SH","1.325,79","38.498","+32","3.330","+12","918","+1"

"Datenstand 10.06.2021 18:33:11"
