"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","890,61","2.800","+4","287","+3","132","+7"
"Lübeck","HL","700,74","1.522","+33","179","+4","45","+3"
"Segeberg","SE","502,84","1.388","+10","70","","59","+2"
"Stormarn","OD","512,76","1.247","+11","141","+6","42","+3"
"Herzogtum Lauenburg","RZ","545,97","1.077","+6","70","+3","32","+2"
"Nordfriesland","NF","598,16","990","+20","148","","34",""
"Ostholstein","OH","468,14","939","+6","147","+2","38","+3"
"Kiel","KI","361,95","896","+6","102","+3","31","+2"
"Flensburg","FL","942,97","844","+8","42","","17",""
"Schleswig-Flensburg","SL","419,95","840","+17","43","","15",""
"Rendsburg-Eckernförde","RD","270,92","739","+3","84","+2","13",""
"Steinburg","IZ","331,95","436","+1","26","","3",""
"Neumünster","NMS","503,23","400","","36","","6",""
"Dithmarschen","HEI","246,98","329","+2","17","","7",""
"Plön","PLO","199,77","257","+2","51","","8","+1"
"-"
"Schleswig-Holstein","SH","507,61","14.704","+129","1.443","+23","482","+23"

"Datenstand 15.02.2021 20:26:51"
