"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","709","713","38","1"
"05-09","842","895","18","0"
"10-14","862","1.058","21","0"
"15-19","1.267","1.325","38","0"
"20-24","1.601","1.645","82","0"
"25-29","1.485","1.494","94","0"
"30-34","1.449","1.613","114","2"
"35-39","1.377","1.444","127","2"
"40-44","1.411","1.312","140","1"
"45-49","1.362","1.232","152","3"
"50-54","1.473","1.554","202","13"
"55-59","1.408","1.431","243","22"
"60-64","871","1.002","239","25"
"65-69","491","573","221","40"
"70-74","501","503","293","72"
"75-79","526","472","357","121"
"80-84","809","525","505","223"
"85-89","646","316","337","197"
"90+","678","194","234","212"

"Datenstand 16.07.2021 19:21:00"
