"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","1.064","1.120","56","1"
"05-09","1.620","1.688","32","0"
"10-14","1.835","2.040","39","0"
"15-19","2.008","2.120","56","0"
"20-24","2.298","2.429","120","0"
"25-29","2.146","2.209","158","0"
"30-34","2.125","2.331","181","3"
"35-39","2.034","2.032","196","4"
"40-44","2.024","1.859","195","4"
"45-49","1.841","1.706","188","4"
"50-54","1.936","2.020","269","18"
"55-59","1.751","1.793","308","25"
"60-64","1.089","1.250","290","28"
"65-69","633","717","270","50"
"70-74","597","602","341","84"
"75-79","620","549","405","130"
"80-84","928","621","576","236"
"85-89","753","355","371","211"
"90+","785","217","265","225"

"Datenstand 27.10.2021 19:05:12"
