"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.461,54","7.781","+7","742","","237",""
"Segeberg","SE","1.904,57","5.279","+5","413","","99",""
"Stormarn","OD","1.927,05","4.705","","428","","137",""
"Kiel","KI","1.884,16","4.650","","346","","65",""
"Herzogtum Lauenburg","RZ","2.136,66","4.231","","281","","77",""
"Lübeck","HL","1.926,29","4.171","","289","","75",""
"Rendsburg-Eckernförde","RD","1.124,05","3.081","","221","","36",""
"Ostholstein","OH","1.325,43","2.658","+1","255","","68","+1"
"Schleswig-Flensburg","SL","1.164,77","2.343","+3","100","","31",""
"Nordfriesland","NF","1.384,75","2.298","+1","239","","56",""
"Flensburg","FL","2.504,33","2.258","+2","122","","29",""
"Steinburg","IZ","1.479,24","1.938","+4","162","","22",""
"Neumünster","NMS","2.097,36","1.682","+4","112","","9",""
"Dithmarschen","HEI","1.167,48","1.555","+1","127","","21",""
"Plön","PLO","914,63","1.177","","131","","20",""
"-"
"Schleswig-Holstein","SH","1.715,25","49.807","+28","3.968","","982","+1"

"Datenstand 19.09.2021 18:58:56"
