"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.967,40","6.219","","658","","223",""
"Segeberg","SE","1.559,30","4.322","","365","","93",""
"Stormarn","OD","1.585,87","3.872","+2","353","","127",""
"Herzogtum Lauenburg","RZ","1.734,68","3.435","","256","+1","73",""
"Lübeck","HL","1.470,47","3.184","+1","260","","74",""
"Kiel","KI","1.276,77","3.151","+2","270","","58",""
"Rendsburg-Eckernförde","RD","886,54","2.430","+2","205","","35",""
"Ostholstein","OH","1.125,47","2.257","","237","","67",""
"Schleswig-Flensburg","SL","987,29","1.986","","88","","31",""
"Nordfriesland","NF","1.092,49","1.813","+1","210","","54",""
"Flensburg","FL","1.968,63","1.775","","110","","29",""
"Steinburg","IZ","1.147,98","1.504","","141","","20",""
"Neumünster","NMS","1.445,21","1.159","+1","88","","9",""
"Dithmarschen","HEI","765,06","1.019","","91","","20",""
"Plön","PLO","633,32","815","+1","107","+1","18",""
"-"
"Schleswig-Holstein","SH","1.341,05","38.941","+10","3.439","+2","931",""

"Datenstand 06.07.2021 19:22:10"
