"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","846,40","2.661","+40","250","+2","55","+2"
"Stormarn","OD","762,35","1.854","+36","104","+2","59",""
"Segeberg","SE","610,80","1.686","","119","","35",""
"Kiel","KI","554,24","1.372","+49","153","+2","17","+1"
"Lübeck","HL","590,24","1.282","+28","56","+2","6",""
"Herzogtum Lauenburg","RZ","570,81","1.126","+16","78","+1","24",""
"Rendsburg-Eckernförde","RD","365,14","996","+24","97","","17",""
"Nordfriesland","NF","412,07","682","+2","53","","4",""
"Dithmarschen","HEI","479,69","639","+15","70","","14",""
"Ostholstein","OH","313,09","628","","43","","3",""
"Schleswig-Flensburg","SL","262,97","526","+3","38","","7",""
"Neumünster","NMS","600,10","477","+14","34","+1","6",""
"Steinburg","IZ","346,41","455","+4","41","","4",""
"Plön","PLO","273,62","352","+10","57","","8",""
"Flensburg","FL","367,58","329","+4","17","","4","+1"
"-"
"Schleswig-Holstein","SH","520,07","15.065","+245","1.210","+10","263","+4"

"Datenstand 03.12.2020 20:26:44"
