"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","637","646","30","1"
"05-09","724","806","12","0"
"10-14","781","928","17","0"
"15-19","1.144","1.198","32","0"
"20-24","1.474","1.523","70","0"
"25-29","1.373","1.386","79","0"
"30-34","1.338","1.500","93","1"
"35-39","1.267","1.341","104","2"
"40-44","1.330","1.224","116","1"
"45-49","1.269","1.133","132","2"
"50-54","1.401","1.457","165","6"
"55-59","1.328","1.364","208","20"
"60-64","829","940","197","20"
"65-69","471","551","197","36"
"70-74","479","485","256","67"
"75-79","511","462","327","115"
"80-84","788","516","476","208"
"85-89","632","310","310","189"
"90+","670","189","218","204"

"Datenstand 16.05.2021 19:48:30"
