"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","998,44","3.139","+48","329","+5","171","+1"
"Lübeck","HL","807,10","1.753","+10","200","+1","61",""
"Segeberg","SE","620,22","1.712","+25","76","+2","62",""
"Stormarn","OD","643,93","1.566","+40","189","+2","78","+2"
"Herzogtum Lauenburg","RZ","703,12","1.387","+24","122","+3","45","+2"
"Flensburg","FL","1.313,91","1.176","+23","74","+1","24","+1"
"Kiel","KI","471,02","1.166","+21","113","+2","35",""
"Schleswig-Flensburg","SL","577,93","1.156","+21","55","+2","17",""
"Nordfriesland","NF","687,58","1.138","+12","164","+1","40","+1"
"Ostholstein","OH","546,91","1.097","+17","165","+1","53",""
"Rendsburg-Eckernförde","RD","375,03","1.023","+19","101","","21",""
"Steinburg","IZ","406,56","534","+2","35","+3","6",""
"Neumünster","NMS","605,13","481","+18","46","+3","7",""
"Dithmarschen","HEI","278,51","371","+7","31","+1","7",""
"Plön","PLO","270,51","348","+5","57","+1","12","+1"
"-"
"Schleswig-Holstein","SH","623,02","18.047","+292","1.757","+28","639","+8"

"Datenstand 03.03.2021 21:08:42"
