"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.358,09","7.454","+22","724","+3","232",""
"Segeberg","SE","1.849,37","5.126","+24","397","+2","95",""
"Stormarn","OD","1.862,74","4.548","+22","411","+3","134",""
"Kiel","KI","1.793,40","4.426","+32","331","+3","64",""
"Herzogtum Lauenburg","RZ","2.068,49","4.096","+32","274","","76",""
"Lübeck","HL","1.864,87","4.038","+26","288","","75",""
"Rendsburg-Eckernförde","RD","1.049,99","2.878","+16","214","","36",""
"Ostholstein","OH","1.283,54","2.574","+13","248","","67",""
"Schleswig-Flensburg","SL","1.134,94","2.283","+6","96","+1","31",""
"Nordfriesland","NF","1.338,95","2.222","+7","232","","56",""
"Flensburg","FL","2.451,09","2.210","+13","121","+1","29",""
"Steinburg","IZ","1.437,26","1.883","+14","160","+4","22",""
"Neumünster","NMS","1.963,94","1.575","+8","107","","9",""
"Dithmarschen","HEI","1.093,15","1.456","+10","116","","21",""
"Plön","PLO","865,67","1.114","+10","129","+2","19",""
"-"
"Schleswig-Holstein","SH","1.648,99","47.883","+255","3.848","+19","966",""

"Datenstand 07.09.2021 18:39:21"
