"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.483,37","7.850","+26","746","","238",""
"Segeberg","SE","1.919,73","5.321","+23","417","+3","99",""
"Stormarn","OD","1.947,12","4.754","+18","433","+3","137",""
"Kiel","KI","1.915,77","4.728","+28","354","+2","65",""
"Herzogtum Lauenburg","RZ","2.153,33","4.264","+15","281","","77",""
"Lübeck","HL","1.942,46","4.206","+5","290","","75",""
"Rendsburg-Eckernförde","RD","1.139,37","3.123","+22","224","","37",""
"Ostholstein","OH","1.334,40","2.676","+6","258","+2","68",""
"Schleswig-Flensburg","SL","1.169,74","2.353","+2","100","","31",""
"Nordfriesland","NF","1.391,37","2.309","+6","240","","56",""
"Flensburg","FL","2.528,73","2.280","+12","122","","29",""
"Steinburg","IZ","1.484,59","1.945","+1","167","+4","22",""
"Neumünster","NMS","2.143,50","1.719","+6","114","","9",""
"Dithmarschen","HEI","1.179,49","1.571","+9","129","","21",""
"Plön","PLO","924,73","1.190","+3","135","+1","21",""
"-"
"Schleswig-Holstein","SH","1.731,85","50.289","+182","4.010","+15","985",""

"Datenstand 22.09.2021 20:08:05"
