"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","575","590","23","1"
"05-09","643","723","11","0"
"10-14","680","833","15","0"
"15-19","1.035","1.098","29","0"
"20-24","1.353","1.404","57","0"
"25-29","1.289","1.300","68","0"
"30-34","1.251","1.410","81","1"
"35-39","1.180","1.268","94","1"
"40-44","1.245","1.145","108","1"
"45-49","1.164","1.066","118","2"
"50-54","1.316","1.382","147","5"
"55-59","1.254","1.274","180","18"
"60-64","775","880","174","20"
"65-69","445","520","183","34"
"70-74","458","456","234","65"
"75-79","495","441","306","106"
"80-84","768","503","452","198"
"85-89","626","303","287","182"
"90+","663","188","202","194"

"Datenstand 03.05.2021 19:04:54"
