"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","737","736","41","1"
"05-09","902","959","20","0"
"10-14","951","1.117","23","0"
"15-19","1.376","1.416","41","0"
"20-24","1.700","1.751","86","0"
"25-29","1.558","1.577","96","0"
"30-34","1.500","1.676","119","2"
"35-39","1.431","1.496","133","2"
"40-44","1.477","1.348","147","1"
"45-49","1.395","1.273","156","3"
"50-54","1.505","1.590","207","15"
"55-59","1.439","1.462","248","22"
"60-64","888","1.020","243","25"
"65-69","505","586","228","42"
"70-74","504","507","294","75"
"75-79","527","473","357","121"
"80-84","814","530","509","224"
"85-89","651","318","339","198"
"90+","687","195","238","212"

"Datenstand 03.08.2021 19:14:34"
