"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","613","617","26","1"
"05-09","684","766","12","0"
"10-14","732","886","16","0"
"15-19","1.090","1.149","29","0"
"20-24","1.414","1.457","60","0"
"25-29","1.338","1.343","71","0"
"30-34","1.294","1.466","84","1"
"35-39","1.233","1.312","99","1"
"40-44","1.289","1.191","109","1"
"45-49","1.216","1.096","121","2"
"50-54","1.356","1.411","152","6"
"55-59","1.290","1.313","191","19"
"60-64","804","905","181","20"
"65-69","458","538","188","34"
"70-74","470","471","246","67"
"75-79","504","450","317","108"
"80-84","782","509","459","201"
"85-89","630","306","293","185"
"90+","666","188","206","194"

"Datenstand 08.05.2021 18:53:52"
