"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","148","160","10","0"
"05-09","203","201","4","0"
"10-14","271","241","8","0"
"15-19","440","441","15","0"
"20-24","531","623","18","0"
"25-29","528","608","34","0"
"30-34","517","516","46","0"
"35-39","483","458","29","2"
"40-44","454","439","30","1"
"45-49","475","484","53","3"
"50-54","571","578","55","0"
"55-59","506","540","84","6"
"60-64","321","355","74","10"
"65-69","184","209","76","10"
"70-74","191","160","96","25"
"75-79","196","166","135","34"
"80-84","227","180","160","59"
"85-89","135","72","82","42"
"90+","134","42","59","45"

"Datenstand 23.11.2020 20:04:50"
