"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","484","495","20","1"
"05-09","504","589","9","0"
"10-14","540","645","14","0"
"15-19","882","900","26","0"
"20-24","1.204","1.211","46","0"
"25-29","1.144","1.137","59","0"
"30-34","1.096","1.236","66","1"
"35-39","1.000","1.115","79","0"
"40-44","1.101","977","87","1"
"45-49","1.015","931","93","2"
"50-54","1.159","1.214","127","3"
"55-59","1.120","1.125","153","15"
"60-64","699","794","145","19"
"65-69","411","464","161","33"
"70-74","410","425","213","60"
"75-79","459","410","281","99"
"80-84","740","482","426","191"
"85-89","614","290","282","176"
"90+","652","182","192","188"

"Datenstand 17.04.2021 20:36:29"
